"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 14 09:58:36 GMT 2023","Fri Jul 14 09:58:42 GMT 2023","5434","","Testing telnyx with webdriverIO","","","","TX_018 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling the correct data in the required fields",""
"passed","Fri Jul 14 09:58:02 GMT 2023","Fri Jul 14 09:58:16 GMT 2023","14460","","Testing telnyx with webdriverIO","","","","TX_015 Test Sign In form from Sign Up page with negative scenario when all fields are left empty",""
"passed","Fri Jul 14 09:57:40 GMT 2023","Fri Jul 14 09:57:51 GMT 2023","10739","","Testing telnyx with webdriverIO","","","","TX_011 Check that ""Privacy Policy"" link navigate to ""Privacy Policy"" page from the Sign up page",""
"passed","Fri Jul 14 09:57:03 GMT 2023","Fri Jul 14 09:57:16 GMT 2023","12977","","Testing telnyx with webdriverIO","","","","TX_010 Check that ""Telnyx`s Terms & Conditions"" link navigate to ""Telnyx`s Terms & Conditions"" page from the Sign up page",""
"passed","Fri Jul 14 09:58:42 GMT 2023","Fri Jul 14 09:58:51 GMT 2023","9428","","Testing telnyx with webdriverIO","","","","TX_019 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling in the correct data in the required fields and ""Promo Code"" field",""
"passed","Fri Jul 14 09:58:00 GMT 2023","Fri Jul 14 09:58:10 GMT 2023","10527","","Testing telnyx with webdriverIO","","","","TX_013 Test Sign up form from Contact Us page with negative scenario where all fields are filled with incorrect credentials",""
"passed","Fri Jul 14 09:56:19 GMT 2023","Fri Jul 14 09:56:31 GMT 2023","11912","","Testing telnyx with webdriverIO","","","","TX_004 Chech that ""See pricing"" button navigate to ""Pricing"" page from the ""Global Numbers"" page",""
"passed","Fri Jul 14 09:57:16 GMT 2023","Fri Jul 14 09:57:24 GMT 2023","7859","","Testing telnyx with webdriverIO","","","","TX_011 Check that ""Privacy Policy"" link navigate to ""Privacy Policy"" page from the Sign up page",""
"passed","Fri Jul 14 09:57:24 GMT 2023","Fri Jul 14 09:57:31 GMT 2023","7011","","Testing telnyx with webdriverIO","","","","TX_012 Test ""Become a Telnyx Partner"" form with negative scenario where all fields are filled with incorrect data",""
"passed","Fri Jul 14 09:58:58 GMT 2023","Fri Jul 14 09:59:05 GMT 2023","6713","","Testing telnyx with webdriverIO","","","","TX_017 Chech that ""Support Center"" link navigate to ""Support Center"" page from the ""Contact us"" page",""
"passed","Fri Jul 14 09:57:31 GMT 2023","Fri Jul 14 09:57:40 GMT 2023","8989","","Testing telnyx with webdriverIO","","","","TX_013 Test Sign up form from Contact Us page with negative scenario where all fields are filled with incorrect credentials",""
"passed","Fri Jul 14 09:55:24 GMT 2023","Fri Jul 14 09:55:35 GMT 2023","10428","","Testing telnyx with webdriverIO","","","","TX_002 Test the Sign up form with positive scenario, form opened via link from the ""Global Numbers"" page",""
"passed","Fri Jul 14 09:59:12 GMT 2023","Fri Jul 14 09:59:17 GMT 2023","5926","","Testing telnyx with webdriverIO","","","","TX_019 Check that ""Confirm email"" page is loading after clicking ""Submit"" button on Sign Up page with filling in the correct data in the required fields and ""Promo Code"" field",""
"passed","Fri Jul 14 09:57:05 GMT 2023","Fri Jul 14 09:57:12 GMT 2023","6568","","Testing telnyx with webdriverIO","","","","TX_008 Chech that ""Mission Control"" link navigate to ""Mission Control"" page from the ""Why Telnyx"" dropdown",""
